filename,width,height,class,xmin,ymin,xmax,ymax
Amos Metal Chair in Brown Color by Bohemiana-4.jpg,1600,1760,Amos Metal Chair in Brown Color by Bohemiana,368,4,1230,1696
Amos Metal Chair in Brown Color by Bohemiana-5.jpg,1600,1760,Amos Metal Chair in Brown Color by Bohemiana,314,9,1344,1655
Amos Metal Chair in Brown Color by Bohemiana-6.jpg,1600,1760,Amos Metal Chair in Brown Color by Bohemiana,276,7,1317,1669
Amos Metal Chair in Brown Color by Bohemiana-7.jpg,1600,1760,Amos Metal Chair in Brown Color by Bohemiana,363,9,1260,1685
Amos Metal Chair in Brown Color by Bohemiana-9.jpg,1600,1760,Amos Metal Chair in Brown Color by Bohemiana,36,23,1566,1760
Anitz Arm Chair in Dual Tone Finish by Woodsworth-1.jpg,1600,1760,Anitz Arm Chair in Dual Tone Finish by Woodsworth,244,131,1398,1677
Anitz Arm Chair in Dual Tone Finish by Woodsworth-2.jpg,1600,1760,Anitz Arm Chair in Dual Tone Finish by Woodsworth,130,128,1468,1669
Anitz Arm Chair in Dual Tone Finish by Woodsworth-3.jpg,1600,1760,Anitz Arm Chair in Dual Tone Finish by Woodsworth,598,1026,963,1561
Anitz Arm Chair in Dual Tone Finish by Woodsworth-3.jpg,1600,1760,Anitz Arm Chair in Dual Tone Finish by Woodsworth,1027,1042,1403,1574
Anitz Arm Chair in Dual Tone Finish by Woodsworth-4.jpg,1600,1760,Anitz Arm Chair in Dual Tone Finish by Woodsworth,609,744,1098,1285
Anitz Arm Chair in Dual Tone Finish by Woodsworth-5.jpg,1600,1760,Anitz Arm Chair in Dual Tone Finish by Woodsworth,254,26,1346,1682
Anitz Arm Chair in Dual Tone Finish by Woodsworth-7.jpg,1600,1760,Anitz Arm Chair in Dual Tone Finish by Woodsworth,146,69,1414,1701
Anitz Arm Chair in Dual Tone Finish by Woodsworth-8.jpg,1600,1760,Anitz Arm Chair in Dual Tone Finish by Woodsworth,203,23,1384,1663
Anitz Arm Chair in Dual Tone Finish by Woodsworth-9.jpg,1600,1760,Anitz Arm Chair in Dual Tone Finish by Woodsworth,11,23,1596,1760
Anne Arm Chair in Provincial Teak Finish by Amberville-1.jpg,1600,1760,Anne Arm Chair in Provincial Teak Finish by Amberville,281,258,1300,1669
Anne Arm Chair in Provincial Teak Finish by Amberville-2.jpg,1600,1760,Anne Arm Chair in Provincial Teak Finish by Amberville,361,244,1223,1671
Anne Arm Chair in Provincial Teak Finish by Amberville-3.jpg,1600,1760,Anne Arm Chair in Provincial Teak Finish by Amberville,617,961,979,1582
Anne Arm Chair in Provincial Teak Finish by Amberville-3.jpg,1600,1760,Anne Arm Chair in Provincial Teak Finish by Amberville,1071,966,1449,1593
Anne Arm Chair in Provincial Teak Finish by Amberville-4.jpg,1600,1760,Anne Arm Chair in Provincial Teak Finish by Amberville,1233,734,1587,1263
Anne Arm Chair in Provincial Teak Finish by Amberville-5.jpg,1600,1760,Anne Arm Chair in Provincial Teak Finish by Amberville,181,44,1379,1634
Anne Arm Chair in Provincial Teak Finish by Amberville-6.jpg,1600,1760,Anne Arm Chair in Provincial Teak Finish by Amberville,306,28,1311,1726
Anne Arm Chair in Provincial Teak Finish by Amberville-7.jpg,1600,1760,Anne Arm Chair in Provincial Teak Finish by Amberville,260,39,1298,1707
Anne Arm Chair in Provincial Teak Finish by Amberville-8.jpg,1600,1760,Anne Arm Chair in Provincial Teak Finish by Amberville,314,47,1260,1663
Anne Arm Chair in Warm Chestnut Finish by Amberville-2.jpg,1600,1760,Anne Arm Chair in Warm Chestnut Finish by Amberville,379,255,1190,1680
Anne Arm Chair in Warm Chestnut Finish by Amberville-3.jpg,1600,1760,Anne Arm Chair in Warm Chestnut Finish by Amberville,617,955,981,1585
Anne Arm Chair in Warm Chestnut Finish by Amberville-3.jpg,1600,1760,Anne Arm Chair in Warm Chestnut Finish by Amberville,1076,966,1444,1577
Anne Arm Chair in Warm Chestnut Finish by Amberville-4.jpg,1600,1760,Anne Arm Chair in Warm Chestnut Finish by Amberville,49,1080,349,1542
Anne Arm Chair in Warm Chestnut Finish by Amberville-5.jpg,1600,1760,Anne Arm Chair in Warm Chestnut Finish by Amberville,363,39,1281,1682
Anne Arm Chair in Warm Chestnut Finish by Amberville-6.jpg,1600,1760,Anne Arm Chair in Warm Chestnut Finish by Amberville,160,55,1376,1661
Anne Arm Chair in Warm Chestnut Finish by Amberville-7.jpg,1600,1760,Anne Arm Chair in Warm Chestnut Finish by Amberville,265,23,1268,1688
Anne Arm Chair in Warm Chestnut Finish by Amberville-8.jpg,1600,1760,Anne Arm Chair in Warm Chestnut Finish by Amberville,290,26,1298,1655
Annette Metal Chair in Orange Color by Bohemiana-1.jpg,1600,1760,Annette Metal Chair in Orange Color by Bohemiana,203,134,1433,1720
Annette Metal Chair in Orange Color by Bohemiana-12.jpg,1600,1760,Annette Metal Chair in Orange Color by Bohemiana,19,4,1600,1640
Annette Metal Chair in Orange Color by Bohemiana-2.jpg,1600,1760,Annette Metal Chair in Orange Color by Bohemiana,422,431,1154,1685
Annette Metal Chair in Orange Color by Bohemiana-3.jpg,1600,1760,Annette Metal Chair in Orange Color by Bohemiana,606,999,925,1574
Annette Metal Chair in Orange Color by Bohemiana-4.jpg,1600,1760,Annette Metal Chair in Orange Color by Bohemiana,71,682,857,1693
Annette Metal Chair in Orange Color by Bohemiana-5.jpg,1600,1760,Annette Metal Chair in Orange Color by Bohemiana,333,17,1284,1693
Annette Metal Chair in Orange Color by Bohemiana-6.jpg,1600,1760,Annette Metal Chair in Orange Color by Bohemiana,198,12,1427,1631
Annette Metal Chair in Orange Color by Bohemiana-7.jpg,1600,1760,Annette Metal Chair in Orange Color by Bohemiana,181,1,1427,1628
Annette Metal Chair in Orange Color by Bohemiana-8.jpg,1600,1760,Annette Metal Chair in Orange Color by Bohemiana,157,9,1446,1688
Annette Metal Chair in Orange Color by Bohemiana-9.jpg,1600,1760,Annette Metal Chair in Orange Color by Bohemiana,209,9,1360,1685
Aries Folding Chair in Multicolor by HomeTown-1.jpg,1600,1760,Aries Folding Chair in Multicolor by HomeTown,114,277,1487,1661
Aspen Folding Chair by InLiving-1.jpg,1600,1760,Aspen Folding Chair by InLiving,230,150,1352,1655
Aspen Folding Chair by InLiving-2.jpg,1600,1760,Aspen Folding Chair by InLiving,290,9,1271,1682
Aspen Folding Chair by InLiving-3.jpg,1600,1760,Aspen Folding Chair by InLiving,846,831,1449,1644
Aspen Folding Chair by InLiving-4.jpg,1600,1760,Aspen Folding Chair by InLiving,111,20,1436,1658
Aspen Folding Chair by InLiving-5.jpg,1600,1760,Aspen Folding Chair by InLiving,214,20,1425,1701
Aspen Folding Chair by InLiving-6.jpg,1600,1760,Aspen Folding Chair by InLiving,157,15,1511,1674
Aspen Folding Chair by InLiving-7.jpg,1600,1760,Aspen Folding Chair by InLiving,176,15,1368,1690
Aspire High Back Ergonomic Chair in Black Colour by HomeTown-1.jpg,1600,1760,Aspire High Back Ergonomic Chair in Black Colour by HomeTown,219,47,1165,1736
Aspire High Back Ergonomic Chair in Black Colour by HomeTown-2.jpg,1600,1760,Aspire High Back Ergonomic Chair in Black Colour by HomeTown,336,26,1303,1688
Aspire High Back Ergonomic Chair in Black Colour by HomeTown-4.jpg,1600,1760,Aspire High Back Ergonomic Chair in Black Colour by HomeTown,346,23,1271,1690
Aspire High Back Ergonomic Chair in Black Colour by HomeTown-5.jpg,1600,1760,Aspire High Back Ergonomic Chair in Black Colour by HomeTown,406,28,1292,1688
Aspire High Back Ergonomic Chair in Black Colour by HomeTown-6.jpg,1600,1760,Aspire High Back Ergonomic Chair in Black Colour by HomeTown,317,23,1295,1693
Aspire High Back Ergonomic Chair in Black Colour by HomeTown-7.jpg,1600,1760,Aspire High Back Ergonomic Chair in Black Colour by HomeTown,363,31,1217,1666
Aspire Medium Back Ergonomic Chair in Black Colour by HomeTown-1.jpg,1600,1760,Aspire High Back Ergonomic Chair in Black Colour by HomeTown,225,209,1125,1742
Aspire Medium Back Ergonomic Chair in Black Colour by HomeTown-2.jpg,1600,1760,Aspire High Back Ergonomic Chair in Black Colour by HomeTown,284,17,1317,1734
Aspire Medium Back Ergonomic Chair in Black Colour by HomeTown-4.jpg,1600,1760,Aspire High Back Ergonomic Chair in Black Colour by HomeTown,279,26,1311,1744
Aspire Medium Back Ergonomic Chair in Black Colour by HomeTown-5.jpg,1600,1760,Aspire High Back Ergonomic Chair in Black Colour by HomeTown,322,28,1311,1723
Aspire Medium Back Ergonomic Chair in Black Colour by HomeTown-6.jpg,1600,1760,Aspire High Back Ergonomic Chair in Black Colour by HomeTown,290,26,1271,1663
Astec Ergonomic Chair in Grey Colour by Parin-1.jpg,1600,1760,Astec Ergonomic Chair in Grey Colour by Parin,425,480,1187,1653
Astec Ergonomic Chair in Grey Colour by Parin-2.jpg,1600,1760,Astec Ergonomic Chair in Grey Colour by Parin,217,7,1298,1712
Astec Ergonomic Chair in Grey Colour by Parin-3.jpg,1600,1760,Astec Ergonomic Chair in Grey Colour by Parin,319,20,1287,1653
Astec Ergonomic Chair in Grey Colour by Parin-4.jpg,1600,1760,Astec Ergonomic Chair in Grey Colour by Parin,760,785,1325,1693
Astec Ergonomic Chair in Grey Colour by Parin-5.jpg,1600,1760,Astec Ergonomic Chair in Grey Colour by Parin,214,20,1325,1658
Astec Ergonomic Chair in Grey Colour by Parin-6.jpg,1600,1760,Astec Ergonomic Chair in Grey Colour by Parin,236,36,1346,1674
Astec Ergonomic Chair in Grey Colour by Parin-7.jpg,1600,1760,Astec Ergonomic Chair in Grey Colour by Parin,317,9,1306,1626
Astec Ergonomic Chair in Grey Colour by Parin-8.jpg,1600,1760,Astec Ergonomic Chair in Grey Colour by Parin,249,23,1352,1663
Atria Medium Back Ergonomic Chair in Black Colour by Parin-1.jpg,1600,1760,Atria Medium Back Ergonomic Chair in Black Colour by Parin,357,407,1114,1680
Avian Arm Chair in Provincial Teak Finish by Woodsworth-1.jpg,1600,1760,Avian Arm Chair in Provincial Teak Finish by Woodsworth,365,680,1471,1674
Avian Arm Chair in Provincial Teak Finish by Woodsworth-2.jpg,1600,1760,Avian Arm Chair in Provincial Teak Finish by Woodsworth,300,639,1300,1674
Avian Arm Chair in Provincial Teak Finish by Woodsworth-3.jpg,1600,1760,Avian Arm Chair in Provincial Teak Finish by Woodsworth,563,1147,927,1588
Avian Arm Chair in Provincial Teak Finish by Woodsworth-3.jpg,1600,1760,Avian Arm Chair in Provincial Teak Finish by Woodsworth,1009,1150,1365,1580
Avian Arm Chair in Provincial Teak Finish by Woodsworth-4.jpg,1600,1760,Avian Arm Chair in Provincial Teak Finish by Woodsworth,41,177,1581,1644
Avian Arm Chair in Provincial Teak Finish by Woodsworth-5.jpg,1600,1760,Avian Arm Chair in Provincial Teak Finish by Woodsworth,57,36,1530,1674
Avian Arm Chair in Provincial Teak Finish by Woodsworth-6.jpg,1600,1760,Avian Arm Chair in Provincial Teak Finish by Woodsworth,76,31,1519,1715
Avian Arm Chair in Provincial Teak Finish by Woodsworth-8.jpg,1600,1760,Avian Arm Chair in Provincial Teak Finish by Woodsworth,33,20,1557,1666
Avian Arm Chair in Provincial Teak Finish by Woodsworth-9.jpg,1600,1760,Avian Arm Chair in Provincial Teak Finish by Woodsworth,22,36,1600,1705
Avian Arm Chair in Warm Chestnut Finish by Woodsworth-1.jpg,1600,1760,Avian Arm Chair in Warm Chestnut Finish by Woodsworth,141,385,1479,1631
Avian Arm Chair in Warm Chestnut Finish by Woodsworth-2.jpg,1600,1760,Avian Arm Chair in Warm Chestnut Finish by Woodsworth,276,399,1357,1671
Avian Arm Chair in Warm Chestnut Finish by Woodsworth-3.jpg,1600,1760,Avian Arm Chair in Warm Chestnut Finish by Woodsworth,544,1147,909,1593
Avian Arm Chair in Warm Chestnut Finish by Woodsworth-3.jpg,1600,1760,Avian Arm Chair in Warm Chestnut Finish by Woodsworth,995,1131,1379,1588
Avian Arm Chair in Warm Chestnut Finish by Woodsworth-4.jpg,1600,1760,Avian Arm Chair in Warm Chestnut Finish by Woodsworth,33,182,1600,1676
Avian Arm Chair in Warm Chestnut Finish by Woodsworth-5.jpg,1600,1760,Avian Arm Chair in Warm Chestnut Finish by Woodsworth,73,9,1541,1699
Avian Arm Chair in Warm Chestnut Finish by Woodsworth-6.jpg,1600,1760,Avian Arm Chair in Warm Chestnut Finish by Woodsworth,38,36,1552,1688
Avian Arm Chair in Warm Chestnut Finish by Woodsworth-7.jpg,1600,1760,Avian Arm Chair in Warm Chestnut Finish by Woodsworth,36,26,1581,1661
Baker Professional Chair in Black Colour by @Home-1.jpg,1600,1760,Baker Professional Chair in Black Colour by @Home,187,117,1379,1650
Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair-1.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair,322,231,1325,1677
Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair-2.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair,260,12,1314,1693
Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair-3.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair,806,858,1390,1644
Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair-4.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair,184,7,1417,1653
Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair-5.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair,244,28,1371,1677
Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair-6.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Natural Finish by TheArmchair,298,15,1244,1685
Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair-1.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair,271,209,1346,1677
Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair-2.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair,190,47,1400,1658
Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair-3.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair,795,858,1387,1639
Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair-4.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair,187,17,1357,1685
Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair-5.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair,87,1,1427,1647
Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair-7.jpg,1600,1760,Barcelona Solid Wood Arm Chair in Provincial Teak Finish by TheArmchair,30,44,1600,1739
Blaze Chair in Black Colour by Nilkamal-1.jpg,1600,1760,Blaze Chair in Black Colour by Nilkamal,173,20,1392,1693
Blaze Chair in Black Colour by Nilkamal-2.jpg,1600,1760,Blaze Chair in Black Colour by Nilkamal,246,9,1344,1682
Blaze Chair in Black Colour by Nilkamal-3.jpg,1600,1760,Blaze Chair in Black Colour by Nilkamal,292,12,1341,1666
Blaze Chair in Black Colour by Nilkamal-4.jpg,1600,1760,Blaze Chair in Black Colour by Nilkamal,206,12,1379,1642
Blaze Chair in Black Colour by Nilkamal-5.jpg,1600,1760,Blaze Chair in Black Colour by Nilkamal,157,7,1336,1655
Blaze Chair in Black Colour by Nilkamal-7.jpg,1600,1760,Blaze Chair in Black Colour by Nilkamal,803,950,1349,1701
Bolton Low Back Ergonomic Chair in Grey Colour by HomeTown-1.jpg,1600,1760,Bolton Low Back Ergonomic Chair in Grey Colour by HomeTown,136,420,1025,1647
Bolton Low Back Ergonomic Chair in Grey Colour by HomeTown-2.jpg,1600,1760,Bolton Low Back Ergonomic Chair in Grey Colour by HomeTown,330,17,1349,1699
